Date,Type,Link
10/16/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6722971697676353536
10/16/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6722637840397819904
10/13/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6721038723871498240
10/13/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6721839335433371648
4/13/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6654754329448325120
4/13/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6652777979594313729
4/1/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6635710880455634944?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6635710880455634944%2C6650981302164078592%29
3/23/2020,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6636705353390137344
3/12/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6641102912753815552
2/24/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6635710880455634944?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6635710880455634944%2C6635974059308003328%29
2/24/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6635710880455634944?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6635710880455634944%2C6635988739787108352%29
